name,time/op (ns/op),±
Gol/512x512x1000-1-6,7.21204E+09,0%
Gol/512x512x1000-2-6,6.90343E+09,0%
Gol/512x512x1000-3-6,6.78195E+09,0%
Gol/512x512x1000-4-6,6.53746E+09,0%
Gol/512x512x1000-5-6,6.46831E+09,0%
Gol/512x512x1000-6-6,6.40884E+09,0%
Gol/512x512x1000-7-6,6.36686E+09,0%
Gol/512x512x1000-8-6,6.09925E+09,0%
Gol/512x512x1000-9-6,5.94219E+09,0%
Gol/512x512x1000-10-6,5.77115E+09,0%
Gol/512x512x1000-11-6,5.60443E+09,0%
Gol/512x512x1000-12-6,5.57731E+09,0%
Gol/512x512x1000-13-6,5.41524E+09,0%
Gol/512x512x1000-14-6,5.22397E+09,0%
Gol/512x512x1000-15-6,5.15134E+09,0%
Gol/512x512x1000-16-6,5.05625E+09,0%
